text,labels,target,source,dataset,nb_annotators
On ne peut pas faire confiance aux musulmans c'est tous des escrocs.,1,islam,NGO,CONAN,1
Les musulmans ne sont pas dignes de confiance.,1,islam,NGO,CONAN,1
Vous ne devriez pas croire les musulmans.,1,islam,NGO,CONAN,1
Les musulmans empêchent les gens de manger pendant le ramadan.,1,islam,NGO,CONAN,1
Les musulmans ne laissent pas les gens s'en prendre à cause du ramadan.,1,islam,NGO,CONAN,1
Les musulmans forcent les gens à jeûner pendant le ramadan.,1,islam,NGO,CONAN,1
Le voile est contraire à la laïcité.,1,islam,NGO,CONAN,1
Le voile est contre la démocratie.,1,islam,NGO,CONAN,1
Le voile contredit notre société.,1,islam,NGO,CONAN,1
L'islam déteste les chrétiens et les juifs.,1,islam,NGO,CONAN,1
Les musulmans détestent les autres religions.,1,islam,NGO,CONAN,1
Les musulmans ne sont pas tolérants envers les juifs et les chrétiens.,1,islam,NGO,CONAN,1
L'islam est la religion de l'obscurantisme.,1,islam,NGO,CONAN,1
Les musulmans sont sombres.,1,islam,NGO,CONAN,1
L'islam est une religion sombre.,1,islam,NGO,CONAN,1
L'islam va à l'encontre des valeurs francaises.,1,islam,NGO,CONAN,1
L'islam est contre les valeurs européennes.,1,islam,NGO,CONAN,1
Les valeurs islamiques sont différentes de nos valeurs.,1,islam,NGO,CONAN,1
Les musulmans forcent leur enfant à jeûner pendant le ramadan.,1,islam,NGO,CONAN,1
Les musulmans ne laissent pas leurs enfants manger pendant le ramadan.,1,islam,NGO,CONAN,1
Les enfants musulmans ne sont pas autorisés à manger pendant le ramadan.,1,islam,NGO,CONAN,1
Les musulmans empêchent les filles de porter des jupes.,1,islam,NGO,CONAN,1
Les musulmans imposent des règles vestimentaires aux filles.,1,islam,NGO,CONAN,1
Les filles musulmanes sont obligées de porter des jupes.,1,islam,NGO,CONAN,1
Ton voile est une agression contre moi.,1,islam,NGO,CONAN,1
Le voile islamique est un assaut pour nous.,1,islam,NGO,CONAN,1
Le voile islamique est une honte pour nous.,1,islam,NGO,CONAN,1
L'islam est une religion moyenâgeuse.,1,islam,NGO,CONAN,1
L'islam n'appartient pas au monde moderne.,1,islam,NGO,CONAN,1
L'islam appartient au passé.,1,islam,NGO,CONAN,1
Les femmes voilées sont soumises et obligées de porter le foulard.,1,islam,NGO,CONAN,1
Les femmes voilées sont misérables et portent le voile contre leur volonté.,1,islam,NGO,CONAN,1
Les femmes voilées sont misérables et réprimées.,1,islam,NGO,CONAN,1
Le voile islamique est la démonstration d'un islam politique.,1,islam,NGO,CONAN,1
Le voile représente l'humeur politique des musulmans.,1,islam,NGO,CONAN,1
Le voile dans l'Islam a une signification politique.,1,islam,NGO,CONAN,1
Les musulmans nous volent notre travail.,1,islam,NGO,CONAN,1
Les musulmans volent nos lieux de travail.,1,islam,NGO,CONAN,1
Je n'ai pas de travail grâce aux musulmans.,1,islam,NGO,CONAN,1
Les femmes musulmanes sont toutes mères au foyer.,1,islam,NGO,CONAN,1
Les femmes musulmanes sont des ménagères.,1,islam,NGO,CONAN,1
Les femmes musulmanes restent chez elles.,1,islam,NGO,CONAN,1
"En fin de compte, les musulmans veulent soit nous convertir soit nous tuer.",1,islam,NGO,CONAN,1
Les musulmans minent notre société.,1,islam,NGO,CONAN,1
Les musulmans nous convertissent ou nous tuent.,1,islam,NGO,CONAN,1
Les musulmans doivent intégrer ou quitter la France!,1,islam,NGO,CONAN,1
Les musulmans doivent se convertir ou quitter la France.,1,islam,NGO,CONAN,1
Les musulmans doivent intégrer ou quitter.,1,islam,NGO,CONAN,1
"Si l'islam est une religion moderne, pourquoi est ce que tous les pays musulmans sont arriérés et/ou en guerre?",1,islam,NGO,CONAN,1
"Musulman mène aux guerres, ce n'est pas une religion progressiste.",1,islam,NGO,CONAN,1
"Les pays islamiques sont en guerre, ils traînent derrière.",1,islam,NGO,CONAN,1
"L'islam est une religion de guerre, nous devons tous le combattre.",1,islam,NGO,CONAN,1
"L'islam est la religion de la guerre, il ne faut pas le laisser.",1,islam,NGO,CONAN,1
"L'islam encourage les guerres, nous ne devrions pas l'encourager.",1,islam,NGO,CONAN,1
Musulmans: retournez dans votre pays.,1,islam,NGO,CONAN,1
"Musulmans, partez!",1,islam,NGO,CONAN,1
Je ne veux pas de musulmans dans notre pays.,1,islam,NGO,CONAN,1
Les musulmans sont faibles d'esprit.,1,islam,NGO,CONAN,1
Les musulmans ne sont pas décents.,1,islam,NGO,CONAN,1
Les musulmans sont faibles.,1,islam,NGO,CONAN,1
Les musulmans détestent quiconque n'est pas musulman.,1,islam,NGO,CONAN,1
Les musulmans ne sont pas tolérants envers les non-musulmans.,1,islam,NGO,CONAN,1
Les musulmans ne sont pas tolérants aux autres religions.,1,islam,NGO,CONAN,1
L'islam est barbare.,1,islam,NGO,CONAN,1
L'islam est cruel.,1,islam,NGO,CONAN,1
L'islam est inférieur.,1,islam,NGO,CONAN,1
Les musulmans sont antisémites.,1,islam,NGO,CONAN,1
Les musulmans détestent les juifs.,1,islam,NGO,CONAN,1
Les musulmans sont des racistes.,1,islam,NGO,CONAN,1
Les musulmans sont tous des racailles.,1,islam,NGO,CONAN,1
Les musulmans sont affreux.,1,islam,NGO,CONAN,1
Les musulmans sont de mauvaises personnes.,1,islam,NGO,CONAN,1
"Les hommes musulmans sont violents, les femmes musulmanes sont soumises.",1,islam,NGO,CONAN,1
"Les hommes musulmans sont cruels, les femmes musulmanes sont misérables.",1,islam,NGO,CONAN,1
"Les hommes musulmans sont dangereux, les femmes musulmanes sont supprimées.",1,islam,NGO,CONAN,1
"""l'islamophobie"" c'est les musulmans qui veulent empêcher le blasphème.",1,islam,NGO,CONAN,1
L'islamophobie est interdite par les musulmans.,1,islam,NGO,CONAN,1
L'islamophobie est bénéfique pour être banni par les musulmans.,1,islam,NGO,CONAN,1
Les musulmans ont envahi nos pays.,1,islam,NGO,CONAN,1
Il y a trop de musulmans ici.,1,islam,NGO,CONAN,1
Les musulmans conquièrent notre pays.,1,islam,NGO,CONAN,1
L'islam est une religion incompatible avec les valeurs de la République.,1,islam,NGO,CONAN,1
L'islam ne partage pas nos valeurs républicaines.,1,islam,NGO,CONAN,1
L'islam n'est pas pour notre république.,1,islam,NGO,CONAN,1
L'islam n'appartient pas à l'Europe.,1,islam,NGO,CONAN,1
L'islam n'est pas européen.,1,islam,NGO,CONAN,1
L'islam est inférieur en europe.,1,islam,NGO,CONAN,1
"""l'islamophobie"" c'est un moyen de nous retirer notre liberté d'expression.",1,islam,NGO,CONAN,1
Notre liberté de parole devrait nous permettre de mal parler des musulmans.,1,islam,NGO,CONAN,1
Nous ne devrions pas nous décourager de l'islamophobie.,1,islam,NGO,CONAN,1
L.es migrants représentent la 5eme colonne.,1,islam,NGO,CONAN,1
Les migrants minent notre société.,1,islam,NGO,CONAN,1
Les migrants sont nuisibles à notre société.,1,islam,NGO,CONAN,1
Nous voyons de plus en plus un problème musulman.,1,islam,NGO,CONAN,1
L'islam crée des problèmes pour notre société.,1,islam,NGO,CONAN,1
L'islam pose beaucoup de problèmes à notre société.,1,islam,NGO,CONAN,1
Les musulmans sont tous violents.,1,islam,NGO,CONAN,1
Tous les musulmans sont des criminels.,1,islam,NGO,CONAN,1
Tous les musulmans sont cruels.,1,islam,NGO,CONAN,1
L'islamophobie est un droit. Combattre l'islam est un devoir.,1,islam,NGO,CONAN,1
"L'islamophobie c'est bien, l'islam c'est mal.",1,islam,NGO,CONAN,1
Soyons islamophobes et combattons l'islam.,1,islam,NGO,CONAN,1
L'islam est une maladie qui doit être éradiquée.,1,islam,NGO,CONAN,1
L'islam est une maladie qui devrait être guérie.,1,islam,NGO,CONAN,1
"L'islam est mauvais, nous devrions nous en débarrasser.",1,islam,NGO,CONAN,1
Les musulmans devraient rentrer chez eux.,1,islam,NGO,CONAN,1
Les musulmans doivent partir.,1,islam,NGO,CONAN,1
Il n'y a pas de place pour les musulmans.,1,islam,NGO,CONAN,1
Les musulmans sont tous pareils.,1,islam,NGO,CONAN,1
Les musulmans ne changent pas.,1,islam,NGO,CONAN,1
Les musulmans n'évoluent pas.,1,islam,NGO,CONAN,1
Les musulmans veulent rendre toute la viande francaise halal.,1,islam,NGO,CONAN,1
Les musulmans occupent nos supermarchés.,1,islam,NGO,CONAN,1
Les musulmans changent trop sur les marchés alimentaires.,1,islam,NGO,CONAN,1
"La France est un pays laïc, la pratique de l'Islam devrait être interdite.",1,islam,NGO,CONAN,1
Nous devrions bannir l'islam de notre pays.,1,islam,NGO,CONAN,1
L'islam n'appartient pas à notre pays.,1,islam,NGO,CONAN,1
Les musulmans profitent du système français.,1,islam,NGO,CONAN,1
Les musulmans utilisent le système français.,1,islam,NGO,CONAN,1
Les musulmans exploitent le système français.,1,islam,NGO,CONAN,1
"On voudrait nous faire croire que c'est normal, bientôt nos petites filles voilées.",1,islam,NGO,CONAN,1
Filles voilées c'est pas bien.,1,islam,NGO,CONAN,1
Nous ne devrions pas laisser le voile sur nos filles.,1,islam,NGO,CONAN,1
Les musulmans veulent imposer la sharia en Europe.,1,islam,NGO,CONAN,1
Musulmans imposent leurs règles en europe.,1,islam,NGO,CONAN,1
Les musulmans changent la vie en europe.,1,islam,NGO,CONAN,1
L'islam nous envahira: c'est l'islamisation.,1,islam,NGO,CONAN,1
L'islamisation est une menace.,1,islam,NGO,CONAN,1
L'islamisation est nuisible.,1,islam,NGO,CONAN,1
Les musulmans sont tous des terroristes fondamentalistes islamistes salafistes.,1,islam,NGO,CONAN,1
Tous les musulmans sont des terroristes radicaux.,1,islam,NGO,CONAN,1
L'islam et le terrorisme sont des synonymes.,1,islam,NGO,CONAN,1
(en réagissant à une attaque terroriste:) bien sûr encore un blond aux yeux bleus qui s'appelle édouard.,1,islam,NGO,CONAN,1
"Tous les terracts sont commis par des musulmans, pas par des européens.",1,islam,NGO,CONAN,1
Vous pouvez deviner l'apparition d'un terroriste.,1,islam,NGO,CONAN,1
Les musulmans sont tous des terroristes.,1,islam,NGO,CONAN,1
Les terroristes sont musulmans.,1,islam,NGO,CONAN,1
"(en réagissant à une attaque terroriste:) encore un bouddhiste, et ils veulent nous faire croire que l'islam est une religion de paix et de tolérance.",1,islam,NGO,CONAN,1
