text;label;type;source;dataset
 Alors julie t'ai dégeulasse de sortir avec une gadji bande de salopes;1;homophobie;role_playing_game;cyberado
  nan mais boomer change de voc pd;1;homophobie;role_playing_game;cyberado
 arreter d'insulter se gros de Brice non je rigole;1;homophobie;role_playing_game;cyberado
 bon vous me dégouter les pd je me casse et allé vous faire soigner;1;homophobie;role_playing_game;cyberado
 c'est toi le pd mec;1;homophobie;role_playing_game;cyberado
 chienne que tes ont aimes pas les lesbienne ici;1;homophobie;role_playing_game;cyberado
 dégage de la pd;1;homophobie;role_playing_game;cyberado
 et toi tu sais que la vie c'est homme femme pas femme femme salope;1;homophobie;role_playing_game;cyberado
 eux ils sucent pas des grosses bites a longueur de journee;1;homophobie;role_playing_game;cyberado
 jules bz ta mere salle pd 100 e la photo je la suprilmes;1;homophobie;role_playing_game;cyberado
 juste que vous vous sentez obligé de revandiquer le fait que vous etes lesbiennes cest genant;1;homophobie;role_playing_game;cyberado
 mais cte folle elle a embrassé lucas pdt le voyazge;1;homophobie;role_playing_game;cyberado
 mais grave bande de lesbiennes vous degoutée aaaaah;1;homophobie;role_playing_game;cyberado
 mais olalala frr assume t'aime les ch*ttes mais tu dégoute meme anna elle le dit ;1;homophobie;role_playing_game;cyberado
 mais tu veut quoi toi retourne avec ta gadji et assume au passant que vous étent lesbiennes sa dégouteeee;1;homophobie;role_playing_game;cyberado
 nikez vos darons bande de pd;1;homophobie;role_playing_game;cyberado
 nn je suis pas pote avec les lesbiennes;1;homophobie;role_playing_game;cyberado
 non pd de gros biko;1;homophobie;role_playing_game;cyberado
 ooooow gros FDB je vais te niker tout tes mort wallah grosse suceuse de bite que tu suce . je te revoi a la lib je te descent avec un gros calibre sa mere ;1;homophobie;role_playing_game;cyberado
 oue oue ca va les pds;1;homophobie;role_playing_game;cyberado
 oui les garcons avec les filles pas filleet fille c degeulasse;1;homophobie;role_playing_game;cyberado
 pd de biko;1;homophobie;role_playing_game;cyberado
 ptdrrr grvvv et arthur ta channgé jte croyais pas comme sa quoi toiausssi tai pd;1;homophobie;role_playing_game;cyberado
 STOP LESBIENNES !!!!;1;homophobie;role_playing_game;cyberado
 t'as cru j'allais rester pote avec un pd;1;homophobie;role_playing_game;cyberado
 vazy on va lui faire sucer des grosses bites vu quil aime  faire sa;1;homophobie;role_playing_game;cyberado
 viens que jte niquer jules petit pd;1;homophobie;role_playing_game;cyberado
 Zemoour ce gros pd;1;homophobie;role_playing_game;cyberado
pd va;1;homophobie;role_playing_game;cyberado
   taimerai biezn etre suce hein adri tes bien seul ;1;homophobie;role_playing_game;cyberado
 vient on se voit en vrai je te tabasse toi et tout tes potes gays;1;homophobie;role_playing_game;cyberado
t'es un trans  avec tes poils;1;homophobie;role_playing_game;cyberado
 aucun gay ICI CA DEGAGE;1;homophobie;role_playing_game;cyberado
 bah déjà d'où t'aime les mecs c'est un virus donc va te faire soigner;1;homophobie;role_playing_game;cyberado
 bahaha aller va te prendre une queue dans le cul ca te decoincera;1;homophobie;role_playing_game;cyberado
 bahahaha gay refoulé;1;homophobie;role_playing_game;cyberado
 dieu il a nous a permit de nous reproduire mais pas entre meme sexe;1;homophobie;role_playing_game;cyberado
 e a de queue un trans travelo ;1;homophobie;role_playing_game;cyberado
 evite tuy passes pour un gay;1;homophobie;role_playing_game;cyberado
 je suis sur silvia tes trans;1;homophobie;role_playing_game;cyberado
 les gens qui soutiennent les gays vous etes bizzare;1;homophobie;role_playing_game;cyberado
 non reste je vais te demonte ta gueule qui suce des bites;1;homophobie;role_playing_game;cyberado
 normal quand on voit la tienne, toute blanche (euh pardon rouge sous le soleil)j'aurai honte moi;1;homophobie;role_playing_game;cyberado
 frère t'es gay et tu me parles;1;homophobie;role_playing_game;cyberado
 mais c vous qui respecter pas la nature a etre homo;1;homophobie;role_playing_game;cyberado
 mettez vous aux hommes c'est mieux;1;homophobie;role_playing_game;cyberado
 on va lui enfoncer une bite dans le cut ;1;homophobie;role_playing_game;cyberado
 pas mal l'education en mode ciseaux;1;homophobie;role_playing_game;cyberado
 Paul t'aime les chibre bien véneux tah les chibrax;1;homophobie;role_playing_game;cyberado
 pédale;1;homophobie;role_playing_game;cyberado
 pédale des qu on est triste on va pleuré chez papa pendant qu il se branle;1;homophobie;role_playing_game;cyberado
 que tu soit nazi ou gay c le meme niveau;1;homophobie;role_playing_game;cyberado
 retourne sucer des bite;1;homophobie;role_playing_game;cyberado
 sale gay;1;homophobie;role_playing_game;cyberado
 t'aimes les homme tu dégoute! vas te faire soigner;1;homophobie;role_playing_game;cyberado
 ah si t'inquiete pas j'ai pleins de choses à faire dans ma vie ferme la michel;1;injure;role_playing_game;cyberado
 aller tg;1;injure;role_playing_game;cyberado
 allo le viol c'est pas une blague grosse bouffonne,  va falloir avoir des valeurs un peu là un minimum;1;injure;role_playing_game;cyberado
 Au sale blanc d’extrémiste tu vas fermer ta grosse geule et tu vas supprimer la photo parce que gris jvzis enculé bêtement y’a mère;1;injure;role_playing_game;cyberado
 bien dit Diana ! tg;1;injure;role_playing_game;cyberado
 bon tg tu parles trop;1;injure;role_playing_game;cyberado
 C JUSTE ON EST PAS GROSEE PETASSE;1;injure;role_playing_game;cyberado
 cb tg toi friend tes mort;1;injure;role_playing_game;cyberado
 comme ta daronne la tchwin zebi tu me degoute gros crasseux que t va bouffer tes grosse bite ;1;injure;role_playing_game;cyberado
 DEHORSSSSS;1;injure;role_playing_game;cyberado
 donc ftg stp;1;injure;role_playing_game;cyberado
 et ftg friends;1;injure;role_playing_game;cyberado
 et quoi quand vous baisser ensemble tu demande a ta daronne de t'aider et ftg tu connais r a la vie ;1;injure;role_playing_game;cyberado
 fdp va niker ttes mort grosse kehba de bitch;1;injure;role_playing_game;cyberado
 ftg;1;injure;role_playing_game;cyberado
 ftg gros boufon;1;injure;role_playing_game;cyberado
 ftg sophia ;1;injure;role_playing_game;cyberado
 ftg toi même;1;injure;role_playing_game;cyberado
 ftg tu vas kiffer;1;injure;role_playing_game;cyberado
 grave vous me degouter;1;injure;role_playing_game;cyberado
 gros chien de la casse nique ton pere la salop qui fait le tapin sur les trotoire;1;injure;role_playing_game;cyberado
 gros ouf il ma dit et va niker tes mort aussi;1;injure;role_playing_game;cyberado
 grosse crasseuse ;1;injure;role_playing_game;cyberado
 GROSSE folle;1;injure;role_playing_game;cyberado
 grosse gamine ouèch;1;injure;role_playing_game;cyberado
 grosse merde;1;injure;role_playing_game;cyberado
 hebert tg toi;1;injure;role_playing_game;cyberado
 j'ai des seins vous êtes des grosses jalouse vous avez rien vous;1;injure;role_playing_game;cyberado
 je sais ou thabite fais  pas le maline brice ftg;1;injure;role_playing_game;cyberado
 jules ferme ta gueule assure;1;injure;role_playing_game;cyberado
 jules ftg;1;injure;role_playing_game;cyberado
 jules ftg toi;1;injure;role_playing_game;cyberado
 jules vien dans notre camp sinon j'vais te peter le fion;1;injure;role_playing_game;cyberado
 julie ftg;1;injure;role_playing_game;cyberado
 julie nva sucer tes grans mort;1;injure;role_playing_game;cyberado
 lisa tg stp;1;injure;role_playing_game;cyberado
 mais bordel tg herbert tu vois pas je lui parle;1;injure;role_playing_game;cyberado
 mais ftg;1;injure;role_playing_game;cyberado
 mais gros elle est dans sa classe allo elle a pas de respect pour elle, va sur les trottoirs c'est pareil;1;injure;role_playing_game;cyberado
 mais jules clochard gros cul de merde;1;injure;role_playing_game;cyberado
 mais tg enft clochard et wsh pas ouèch;1;injure;role_playing_game;cyberado
 mais tg toi on est Fat igué;1;injure;role_playing_game;cyberado
 maria tg;1;injure;role_playing_game;cyberado
 mdrr tg francois bien fait pour ta gueule;1;injure;role_playing_game;cyberado
 mdrrrr tg jules tu trahi la honda;1;injure;role_playing_game;cyberado
 mere teresa tg;1;injure;role_playing_game;cyberado
 michel que il est derriere son cula zoe donc ftg;1;injure;role_playing_game;cyberado
 michel tg;1;injure;role_playing_game;cyberado
 Moussa tg parce que tu vit grasse a mes impot;1;injure;role_playing_game;cyberado
 nicola ftg;1;injure;role_playing_game;cyberado
 non tg;1;injure;role_playing_game;cyberado
 oo tg pierre me fais pas chier jmen blc de ta vie franchement;1;injure;role_playing_game;cyberado
 ooo nicolas tg;1;injure;role_playing_game;cyberado
 oui c moi gros fdp;1;injure;role_playing_game;cyberado
 oui on ne casse rien on lui dit la verite elle est grosse;1;injure;role_playing_game;cyberado
 parle bien de la daronne gros fdp;1;injure;role_playing_game;cyberado
 pauline et pierre 2 grosses merdes qui parlent;1;injure;role_playing_game;cyberado
 paupau tg et l'autre autre kiss kiss;1;injure;role_playing_game;cyberado
 piste les mes grosses couilles;1;injure;role_playing_game;cyberado
 porte plainte grosse folle sa va te meler;1;injure;role_playing_game;cyberado
 ptddrrr tg pierre tu viens au foot apres?;1;injure;role_playing_game;cyberado
 repond fatiquer grosse tapette quer tes je te souleve grosse kehba ;1;injure;role_playing_game;cyberado
 silvia tg on a des preuvesx et destémoins;1;injure;role_playing_game;cyberado
 soyez intelligent Adrien tg;1;injure;role_playing_game;cyberado
 sylvia t vraiment la pire des grosses salope tu savait qu il été en couple est tu la embrassé ta aucun *e race ;1;injure;role_playing_game;cyberado
 teresa ftg va a l'eglise;1;injure;role_playing_game;cyberado
 teresa parle bien ftg;1;injure;role_playing_game;cyberado
 tg;1;injure;role_playing_game;cyberado
 tg  gros  ouf;1;injure;role_playing_game;cyberado
 tg brice nique  toi;1;injure;role_playing_game;cyberado
 tg Camille;1;injure;role_playing_game;cyberado
 tg Camille t'es une merde;1;injure;role_playing_game;cyberado
 tg elisa;1;injure;role_playing_game;cyberado
 tg jim;1;injure;role_playing_game;cyberado
 tg jules;1;injure;role_playing_game;cyberado
 tg jvais te cracher dessus;1;injure;role_playing_game;cyberado
 tg Soan t'es au meme niveau que ta pote crasseuse;1;injure;role_playing_game;cyberado
 tg t’as pas le droit a la parole Soan;1;injure;role_playing_game;cyberado
 tg tahan de merde;1;injure;role_playing_game;cyberado
 tg theo la veriter blaisse tu te sens mal;1;injure;role_playing_game;cyberado
 Tg Thérèsa ;1;injure;role_playing_game;cyberado
 tg toi;1;injure;role_playing_game;cyberado
 tg toi;1;injure;role_playing_game;cyberado
 tgg;1;injure;role_playing_game;cyberado
 theo ftg;1;injure;role_playing_game;cyberado
 theo ftg vrm tu sers à r;1;injure;role_playing_game;cyberado
 Ttg stp;1;injure;role_playing_game;cyberado
 tu parles a toi bête grosse conne t tebe;1;injure;role_playing_game;cyberado
 vasy tg jvai te faire manger le sol;1;injure;role_playing_game;cyberado
" vous etes de gros malades qui ne supportent pas les autres  c""est trop important de se respecter";1;injure;role_playing_game;cyberado
 wallah me degoute gros trdc ;1;injure;role_playing_game;cyberado
 wallah vien la lib grosse tapette;1;injure;role_playing_game;cyberado
 wsh tu parle pas comme ca je vais te dechire;1;injure;role_playing_game;cyberado
  masi vous etes qui fermer la;1;injure;role_playing_game;cyberado
 tu sais de quoi je parle salope;1;injure;role_playing_game;cyberado
 une sacree merde ;1;injure;role_playing_game;cyberado
 va baiser ta mere jules;1;injure;role_playing_game;cyberado
 va bouffer tes mort ké tu parle avec moi;1;injure;role_playing_game;cyberado
 va crever;1;injure;role_playing_game;cyberado
 va crevrr;1;injure;role_playing_game;cyberado
 va deterrer tes mort ;1;injure;role_playing_game;cyberado
 va doigter ta mere toi ;1;injure;role_playing_game;cyberado
 va la ba vien on ce mange un tete;1;injure;role_playing_game;cyberado
 va sucer tes profs;1;injure;role_playing_game;cyberado
 va te jeter;1;injure;role_playing_game;cyberado
 va te pendre;1;injure;role_playing_game;cyberado
 vas crevé en enfer ;1;injure;role_playing_game;cyberado
 vazy jette toi connard;1;injure;role_playing_game;cyberado
 vien te nike ta grand mere kehba;1;injure;role_playing_game;cyberado
 « +1 herbert » que tu suce;1;injure;role_playing_game;cyberado
 a part sucer jim d'autees talent ?;1;injure;role_playing_game;cyberado
 adrien parle mieux vraiment j’vais t’enculer respect la fdp;1;injure;role_playing_game;cyberado
 Adrien94  Tu n'as rie nd'autre a faire que de venir foutre la merde ici, tu as pas d'amis pour t'occuper ?;1;injure;role_playing_game;cyberado
 ah sayer zoé tu as tes potes pour te defendrent tu te sens fraiche et t'ouvres ta gueule;1;injure;role_playing_game;cyberado
 ahhh sayer zoe ouvre sa gueuele ahahah;1;injure;role_playing_game;cyberado
 aller niquez vos mere;1;injure;role_playing_game;cyberado
 allez casse vous un peu;1;injure;role_playing_game;cyberado
 allez diminue vos grossse bite cest mieux;1;injure;role_playing_game;cyberado
 allez fermez la;1;injure;role_playing_game;cyberado
 allez suce em;1;injure;role_playing_game;cyberado
 alors jvous bz tous;1;injure;role_playing_game;cyberado
 alors la con de ta mère;1;injure;role_playing_game;cyberado
 alors on ferme sa gueule;1;injure;role_playing_game;cyberado
 alors parle lui avant de croire adrien ce con;1;injure;role_playing_game;cyberado
 amine je vais te niquer tout tes mort;1;injure;role_playing_game;cyberado
 Amine: il te manque une claque dans la gueule;1;injure;role_playing_game;cyberado
 arthur t'es pas productif tu parles pour dire que de la merde;1;injure;role_playing_game;cyberado
 bah avec le sida c sur tu va crever vite silvia ??;1;injure;role_playing_game;cyberado
 bah moi je te dit ce que tu va faire tu va bien niker tes mort ;1;injure;role_playing_game;cyberado
 bah non  on baisse pas avec des animeaux;1;injure;role_playing_game;cyberado
 bah si toi Soan je vais t’enculer sale mms;1;injure;role_playing_game;cyberado
 bah va fist ton pere alors;1;injure;role_playing_game;cyberado
 bande de conne;1;injure;role_playing_game;cyberado
 bande de crasseuse;1;injure;role_playing_game;cyberado
 bande de crasseux meme arthur on va te degager de la classe ;1;injure;role_playing_game;cyberado
 bolosse;1;injure;role_playing_game;cyberado
 bon fatima on va te ntm tkt;1;injure;role_playing_game;cyberado
 brice suce ma bite;1;injure;role_playing_game;cyberado
 burk bande de chienne;1;injure;role_playing_game;cyberado
 bz ta mere;1;injure;role_playing_game;cyberado
 bz ta mere Yaniss;1;injure;role_playing_game;cyberado
 c pas normale ton truc fdp ;1;injure;role_playing_game;cyberado
 c un ouf lui on va le def;1;injure;role_playing_game;cyberado
 ça surcule avec tous les mecs qui ton dé glingué;1;injure;role_playing_game;cyberado
 Camille moi j'ai compris la vie, un homme une femme . rien de plus Camille ca degage;1;injure;role_playing_game;cyberado
 c'est ça ton excuse de merde?;1;injure;role_playing_game;cyberado
 c'est ta mere la chienne michel;1;injure;role_playing_game;cyberado
 c'est toi qui insultes abruti va;1;injure;role_playing_game;cyberado
 come sa personne et contaminer ptdr;1;injure;role_playing_game;cyberado
 connard ;1;injure;role_playing_game;cyberado
 contrairrement a vous salle conne;1;injure;role_playing_game;cyberado
 coralie elle a le sida;1;injure;role_playing_game;cyberado
 coralie et fatimah c'est des salopes;1;injure;role_playing_game;cyberado
 coralie ferme ta gueule toi aussi t'es une petasse;1;injure;role_playing_game;cyberado
 coralie j vais tellement t'neculer qu'on va retrouver du petrole dans ton cul enculer;1;injure;role_playing_game;cyberado
 donc va te faire soigner et vite;1;injure;role_playing_game;cyberado
 eh que moi aussi j'te vois et ferme ta bouche;1;injure;role_playing_game;cyberado
