text;label;type;source;dataset
Les musulmans détestent les autres religions.;1;islam;NGO;CONAN
Les musulmans n'évoluent pas.;1;islam;NGO;CONAN
Les musulmans forcent les gens à jeûner pendant le ramadan.;1;islam;NGO;CONAN
Les musulmans ne sont pas décents.;1;islam;NGO;CONAN
Les musulmans doivent se convertir ou quitter la France.;1;islam;NGO;CONAN
L'islam n'est pas juste envers les femmes.;1;islam;NGO;CONAN
Il y a trop de musulmans ici.;1;islam;NGO;CONAN
La France est un pays laïc, la pratique de l'Islam devrait être interdite.;1;islam;NGO;CONAN
Les musulmans devraient rentrer chez eux.;1;islam;NGO;CONAN
Les musulmans minent notre société.;1;islam;NGO;CONAN
Les musulmans forcent leur enfant à jeûner pendant le ramadan.;1;islam;NGO;CONAN
Le voile représente l'humeur politique des musulmans.;1;islam;NGO;CONAN
Le voile islamique est un assaut pour nous.;1;islam;NGO;CONAN
On voudrait nous faire croire que c'est normal, bientôt nos petites filles voilées.;1;islam;NGO;CONAN
Le voile est contre la démocratie.;1;islam;NGO;CONAN
Les migrants minent notre société.;1;islam;NGO;CONAN
Les musulmans doivent intégrer ou quitter.;1;islam;NGO;CONAN
Les hommes musulmans sont dangereux, les femmes musulmanes sont supprimées.;1;islam;NGO;CONAN
L'islam crée des problèmes pour notre société.;1;islam;NGO;CONAN
L'islamophobie est bénéfique pour être banni par les musulmans.;1;islam;NGO;CONAN
Les musulmans ne sont pas tolérants envers les non-musulmans.;1;islam;NGO;CONAN
Les musulmans ont envahi nos pays.;1;islam;NGO;CONAN
L'islam est cruel.;1;islam;NGO;CONAN
Les musulmans occupent nos supermarchés.;1;islam;NGO;CONAN
Les femmes voilées ne peuvent pas travailler, elles sont prisonnières chez elles.;1;islam;NGO;CONAN
L'islamophobie est interdite par les musulmans.;1;islam;NGO;CONAN
Tous les musulmans sont cruels.;1;islam;NGO;CONAN
Nous voyons de plus en plus un problème musulman.;1;islam;NGO;CONAN
Le voile islamique est une honte pour nous.;1;islam;NGO;CONAN
Les musulmans détestent quiconque n'est pas musulman.;1;islam;NGO;CONAN
Le voile est contraire à la laïcité.;1;islam;NGO;CONAN
Les femmes voilées sont misérables et portent le voile contre leur volonté.;1;islam;NGO;CONAN
Les filles musulmanes sont obligées de porter des jupes.;1;islam;NGO;CONAN
Les musulmans sont faibles d'esprit.;1;islam;NGO;CONAN
Les musulmans ne changent pas.;1;islam;NGO;CONAN
L'islamisation est une menace.;1;islam;NGO;CONAN
Tous les musulmans sont des terroristes radicaux.;1;islam;NGO;CONAN
L'islam n'est pas pour notre république.;1;islam;NGO;CONAN
L'islam n'est pas européen.;1;islam;NGO;CONAN
Les musulmans détestent les juifs.;1;islam;NGO;CONAN
Les enfants musulmans ne sont pas autorisés à manger pendant le ramadan.;1;islam;NGO;CONAN
Les musulmans changent la vie en europe.;1;islam;NGO;CONAN
Les musulmans conquièrent notre pays.;1;islam;NGO;CONAN
Nous devrions bannir l'islam de notre pays.;1;islam;NGO;CONAN
Les musulmans exploitent le système français.;1;islam;NGO;CONAN
Les hommes musulmans sont cruels, les femmes musulmanes sont misérables.;1;islam;NGO;CONAN
L'islam est contre les valeurs européennes.;1;islam;NGO;CONAN
Les musulmans ne sont pas tolérants envers les juifs et les chrétiens.;1;islam;NGO;CONAN
L'islam est une maladie qui doit être éradiquée.;1;islam;NGO;CONAN
Les musulmans sont tous des racailles.;1;islam;NGO;CONAN
Je n'ai pas de travail grâce aux musulmans.;1;islam;NGO;CONAN
Les valeurs islamiques sont différentes de nos valeurs.;1;islam;NGO;CONAN
L'islam déteste les femmes.;1;islam;NGO;CONAN
Les musulmans sont des racistes.;1;islam;NGO;CONAN
Les musulmans sont affreux.;1;islam;NGO;CONAN
Les femmes voilées sont misérables et réprimées.;1;islam;NGO;CONAN
Les femmes voilées sont discriminées à cause du voile.;1;islam;NGO;CONAN
Les musulmans ne laissent pas leurs enfants manger pendant le ramadan.;1;islam;NGO;CONAN
Tous les musulmans sont des criminels.;1;islam;NGO;CONAN
Tous les terracts sont commis par des musulmans, pas par des européens.;1;islam;NGO;CONAN
"""l'islamophobie"" c'est un moyen de nous retirer notre liberté d'expression.";1;islam;NGO;CONAN
Les musulmans profitent du système français.;1;islam;NGO;CONAN
Les femmes musulmanes n'ont aucun droit.;1;islam;NGO;CONAN
Je ne veux pas de musulmans dans notre pays.;1;islam;NGO;CONAN
Les femmes musulmanes se renferment avec leur voile, c'est normal qu'on les discrimine.;1;islam;NGO;CONAN
Les femmes musulmanes sont toutes mères au foyer.;1;islam;NGO;CONAN
L'islam nous envahira: c'est l'islamisation.;1;islam;NGO;CONAN
