text;label;target;source;dataset
Je vois que les valeurs de l'islam peuvent être compatibles avec la république.;0;islam;GENERATED;POSITIVE
À mon avis, les musulmans contribuent à l'économie française.;0;islam;GENERATED;POSITIVE
Selon moi, les musulmans participent activement à la vie sociale.;0;islam;GENERATED;POSITIVE
Je crois que les valeurs de l'islam peuvent être compatibles avec la république.;0;islam;GENERATED;POSITIVE
Je sais que les musulmans enrichissent notre culture.;0;islam;GENERATED;POSITIVE
Je pense que le dialogue interreligieux est enrichissant.;0;islam;GENERATED;POSITIVE
Je comprends que je respecte la pratique de l'islam en france.;0;islam;GENERATED;POSITIVE
Je pense que les musulmans font partie de notre histoire commune.;0;islam;GENERATED;POSITIVE
À mon avis, la diversité religieuse enrichit notre société.;0;islam;GENERATED;POSITIVE
Selon moi, la diversité religieuse enrichit notre société.;0;islam;GENERATED;POSITIVE
Je constate que les musulmans participent activement à la vie sociale.;0;islam;GENERATED;POSITIVE
Je trouve que le voile est un choix personnel qui doit être respecté.;0;islam;GENERATED;POSITIVE
À mon avis, le voile est un choix personnel qui doit être respecté.;0;islam;GENERATED;POSITIVE
Je comprends que le dialogue interreligieux est enrichissant.;0;islam;GENERATED;POSITIVE
Je pense que le respect mutuel est essentiel dans notre société.;0;islam;GENERATED;POSITIVE
Je crois que le ramadan est une période importante pour les musulmans.;0;islam;GENERATED;POSITIVE
Je remarque que les musulmans participent activement à la vie sociale.;0;islam;GENERATED;POSITIVE
Je constate que les musulmans font partie de notre histoire commune.;0;islam;GENERATED;POSITIVE
Selon moi, la pratique de l'islam est un droit constitutionnel.;0;islam;GENERATED;POSITIVE
Je constate que les musulmans font partie intégrante de notre société.;0;islam;GENERATED;POSITIVE
À mon avis, le ramadan est une période importante pour les musulmans.;0;islam;GENERATED;POSITIVE
Je remarque que la liberté de culte est un droit fondamental.;0;islam;GENERATED;POSITIVE
Selon moi, les valeurs de l'islam peuvent être compatibles avec la république.;0;islam;GENERATED;POSITIVE
Je sais que les musulmans contribuent à l'économie française.;0;islam;GENERATED;POSITIVE
Je crois que les musulmans contribuent positivement à notre pays.;0;islam;GENERATED;POSITIVE
À mon avis, le ramadan est une période importante pour les musulmans.;0;islam;GENERATED;POSITIVE
Je constate que les musulmans contribuent à l'économie française.;0;islam;GENERATED;POSITIVE
Je trouve que la tolérance religieuse est une valeur importante.;0;islam;GENERATED;POSITIVE
À mon avis, je respecte la pratique de l'islam en france.;0;islam;GENERATED;POSITIVE
Je vois que la diversité culturelle est une richesse.;0;islam;GENERATED;POSITIVE
Je remarque que le dialogue interreligieux est enrichissant.;0;islam;GENERATED;POSITIVE
À mon avis, la diversité religieuse enrichit notre société.;0;islam;GENERATED;POSITIVE
Selon moi, la liberté de culte est un droit fondamental.;0;islam;GENERATED;POSITIVE
Je sais que les musulmans contribuent à l'économie française.;0;islam;GENERATED;POSITIVE
Je constate que les musulmans contribuent positivement à notre pays.;0;islam;GENERATED;POSITIVE
Selon moi, les musulmans font partie de notre histoire commune.;0;islam;GENERATED;POSITIVE
Je sais que la pratique de l'islam est un droit constitutionnel.;0;islam;GENERATED;POSITIVE
À mon avis, les musulmans enrichissent notre culture.;0;islam;GENERATED;POSITIVE
Je vois que les musulmans contribuent à l'économie française.;0;islam;GENERATED;POSITIVE
Je pense que les musulmans font partie intégrante de notre société.;0;islam;GENERATED;POSITIVE
À mon avis, les musulmans participent activement à la vie sociale.;0;islam;GENERATED;POSITIVE
Je sais que la pratique de l'islam est un droit constitutionnel.;0;islam;GENERATED;POSITIVE
Je crois que les musulmans participent à la vie démocratique.;0;islam;GENERATED;POSITIVE
Je constate que la pratique de l'islam est un droit constitutionnel.;0;islam;GENERATED;POSITIVE
Je comprends que le respect mutuel est essentiel dans notre société.;0;islam;GENERATED;POSITIVE
Je comprends que les musulmans font partie intégrante de notre société.;0;islam;GENERATED;POSITIVE
Je comprends que les musulmans enrichissent notre culture.;0;islam;GENERATED;POSITIVE
Je pense que les musulmans enrichissent notre culture.;0;islam;GENERATED;POSITIVE
Je constate que la diversité culturelle est une richesse.;0;islam;GENERATED;POSITIVE
Je sais que le dialogue interreligieux est enrichissant.;0;islam;GENERATED;POSITIVE
Selon moi, les musulmans participent à la vie démocratique.;0;islam;GENERATED;POSITIVE
Je crois que les musulmans contribuent positivement à notre pays.;0;islam;GENERATED;POSITIVE
Je crois que la diversité religieuse enrichit notre société.;0;islam;GENERATED;POSITIVE
Je constate que les musulmans font partie intégrante de notre société.;0;islam;GENERATED;POSITIVE
Je constate que le ramadan est une période importante pour les musulmans.;0;islam;GENERATED;POSITIVE
Je sais que la diversité religieuse enrichit notre société.;0;islam;GENERATED;POSITIVE
Je constate que la liberté de culte est un droit fondamental.;0;islam;GENERATED;POSITIVE
Je trouve que les musulmans contribuent à l'économie française.;0;islam;GENERATED;POSITIVE
Je sais que les musulmans ont le droit de pratiquer leur foi.;0;islam;GENERATED;POSITIVE
Je trouve que la diversité culturelle est une richesse.;0;islam;GENERATED;POSITIVE
Je remarque que le dialogue interreligieux est enrichissant.;0;islam;GENERATED;POSITIVE
Je trouve que les musulmans participent activement à la vie sociale.;0;islam;GENERATED;POSITIVE
