text;label;target;source;dataset
Je constate que les musulmans font partie intégrante de notre société.;0;islam;GENERATED;POSITIVE
Je sais que le respect mutuel est essentiel dans notre société.;0;islam;GENERATED;POSITIVE
Selon moi, les musulmans participent activement à la vie sociale.;0;islam;GENERATED;POSITIVE
Les musulmans détestent les autres religions.;1;islam;NGO;CONAN
Je comprends que les valeurs de l'islam peuvent être compatibles avec la république.;0;islam;GENERATED;POSITIVE
Je sais que les musulmans font partie de notre histoire commune.;0;islam;GENERATED;POSITIVE
Je comprends que les musulmans enrichissent notre culture.;0;islam;GENERATED;POSITIVE
Les musulmans n'évoluent pas.;1;islam;NGO;CONAN
Les musulmans forcent les gens à jeûner pendant le ramadan.;1;islam;NGO;CONAN
À mon avis, le ramadan est une période importante pour les musulmans.;0;islam;GENERATED;POSITIVE
Je crois que le respect mutuel est essentiel dans notre société.;0;islam;GENERATED;POSITIVE
Les musulmans ne sont pas décents.;1;islam;NGO;CONAN
À mon avis, la laïcité protège toutes les religions.;0;islam;GENERATED;POSITIVE
Les musulmans doivent se convertir ou quitter la France.;1;islam;NGO;CONAN
Selon moi, la liberté de culte est un droit fondamental.;0;islam;GENERATED;POSITIVE
À mon avis, la diversité religieuse enrichit notre société.;0;islam;GENERATED;POSITIVE
Je comprends que les musulmans font partie intégrante de notre société.;0;islam;GENERATED;POSITIVE
Je trouve que les musulmans participent activement à la vie sociale.;0;islam;GENERATED;POSITIVE
L'islam n'est pas juste envers les femmes.;1;islam;NGO;CONAN
Je crois que le ramadan est une période importante pour les musulmans.;0;islam;GENERATED;POSITIVE
Il y a trop de musulmans ici.;1;islam;NGO;CONAN
La France est un pays laïc, la pratique de l'Islam devrait être interdite.;1;islam;NGO;CONAN
Je pense que les musulmans participent activement à la vie sociale.;0;islam;GENERATED;POSITIVE
Je remarque que la laïcité protège toutes les religions.;0;islam;GENERATED;POSITIVE
Les musulmans devraient rentrer chez eux.;1;islam;NGO;CONAN
Les musulmans minent notre société.;1;islam;NGO;CONAN
Je comprends que les musulmans font partie intégrante de notre société.;0;islam;GENERATED;POSITIVE
Selon moi, les musulmans contribuent à l'économie française.;0;islam;GENERATED;POSITIVE
Je pense que les musulmans font partie de notre histoire commune.;0;islam;GENERATED;POSITIVE
Je sais que les musulmans ont le droit de pratiquer leur foi.;0;islam;GENERATED;POSITIVE
Les musulmans forcent leur enfant à jeûner pendant le ramadan.;1;islam;NGO;CONAN
Je pense que le respect mutuel est essentiel dans notre société.;0;islam;GENERATED;POSITIVE
Le voile représente l'humeur politique des musulmans.;1;islam;NGO;CONAN
Le voile islamique est un assaut pour nous.;1;islam;NGO;CONAN
Je remarque que le voile est un choix personnel qui doit être respecté.;0;islam;GENERATED;POSITIVE
On voudrait nous faire croire que c'est normal, bientôt nos petites filles voilées.;1;islam;NGO;CONAN
Le voile est contre la démocratie.;1;islam;NGO;CONAN
Les migrants minent notre société.;1;islam;NGO;CONAN
Les musulmans doivent intégrer ou quitter.;1;islam;NGO;CONAN
Les hommes musulmans sont dangereux, les femmes musulmanes sont supprimées.;1;islam;NGO;CONAN
L'islam crée des problèmes pour notre société.;1;islam;NGO;CONAN
L'islamophobie est bénéfique pour être banni par les musulmans.;1;islam;NGO;CONAN
À mon avis, les musulmans font partie de notre histoire commune.;0;islam;GENERATED;POSITIVE
Les musulmans ne sont pas tolérants envers les non-musulmans.;1;islam;NGO;CONAN
Les musulmans ont envahi nos pays.;1;islam;NGO;CONAN
L'islam est cruel.;1;islam;NGO;CONAN
Je comprends que je respecte la pratique de l'islam en france.;0;islam;GENERATED;POSITIVE
Je pense que les musulmans enrichissent notre culture.;0;islam;GENERATED;POSITIVE
Les musulmans occupent nos supermarchés.;1;islam;NGO;CONAN
Je vois que les musulmans enrichissent notre culture.;0;islam;GENERATED;POSITIVE
Je remarque que le dialogue interreligieux est enrichissant.;0;islam;GENERATED;POSITIVE
Les femmes voilées ne peuvent pas travailler, elles sont prisonnières chez elles.;1;islam;NGO;CONAN
Je comprends que je respecte la pratique de l'islam en france.;0;islam;GENERATED;POSITIVE
L'islamophobie est interdite par les musulmans.;1;islam;NGO;CONAN
À mon avis, je respecte la pratique de l'islam en france.;0;islam;GENERATED;POSITIVE
Selon moi, les valeurs de l'islam peuvent être compatibles avec la république.;0;islam;GENERATED;POSITIVE
Tous les musulmans sont cruels.;1;islam;NGO;CONAN
Nous voyons de plus en plus un problème musulman.;1;islam;NGO;CONAN
Je crois que les musulmans participent à la vie démocratique.;0;islam;GENERATED;POSITIVE
Le voile islamique est une honte pour nous.;1;islam;NGO;CONAN
Je pense que la pratique de l'islam est un droit constitutionnel.;0;islam;GENERATED;POSITIVE
Les musulmans détestent quiconque n'est pas musulman.;1;islam;NGO;CONAN
Le voile est contraire à la laïcité.;1;islam;NGO;CONAN
Selon moi, les musulmans font partie de notre histoire commune.;0;islam;GENERATED;POSITIVE
Je sais que les musulmans contribuent à l'économie française.;0;islam;GENERATED;POSITIVE
Les femmes voilées sont misérables et portent le voile contre leur volonté.;1;islam;NGO;CONAN
Les filles musulmanes sont obligées de porter des jupes.;1;islam;NGO;CONAN
Je comprends que les musulmans enrichissent notre culture.;0;islam;GENERATED;POSITIVE
Les musulmans sont faibles d'esprit.;1;islam;NGO;CONAN
