text,label,type,source,dataset
zoé tu vaux mieux que sa,0,,role_playing_game,cyberado
ya pas de s à vas amine,0,,role_playing_game,cyberado
vous vous etes cru dans un mauvais film americain lol,0,,role_playing_game,cyberado
venez on va la taper sur MSN,0,,role_playing_game,cyberado
vas-y juste soit cool avec elle,0,,role_playing_game,cyberado
Vas-y continue Francois,0,,role_playing_game,cyberado
vas-y c'est bon ca te sert a rien d'avoir la haine comme ça,0,,role_playing_game,cyberado
vasi vvien a la lib on va voire,0,,role_playing_game,cyberado
vasi Leocalme toi laisse julie parler,0,,role_playing_game,cyberado
vasi jle prend vraiment pour moi bonnnnn,0,,role_playing_game,cyberado
vasi essaie,0,,role_playing_game,cyberado
vasi allez vous tuer elle a rien fait,0,,role_playing_game,cyberado
vas y t'es tellement une pute que tu irai draguer meme les mecs de tes copines,0,,role_playing_game,cyberado
Vas- y essaye toujours,0,,role_playing_game,cyberado
vas y ciao les ploucs,0,,role_playing_game,cyberado
vas dormir tu sers a rien,1,,role_playing_game,cyberado
vas dans un asile !!!,1,,role_playing_game,cyberado
valeur de notre pays,0,,role_playing_game,cyberado
Va si ecplique toi !,0,,role_playing_game,cyberado
va dodo c mieux,0,,role_playing_game,cyberado
va chez la police on tenmene meme si tu veux,1,,role_playing_game,cyberado
tu vas voir quand tu sortiras des vestiaires,1,,role_playing_game,cyberado
tu vas rien comprendre,0,,role_playing_game,cyberado
tu vas pas gâcher ta vie juste à cause d'idiots,0,,role_playing_game,cyberado
tu vas faire quoi ? essayer de me pousser avec tes mini muscles ? essaie et je te roule dessus,1,,role_playing_game,cyberado
tu vas faire quoi,0,,role_playing_game,cyberado
tu vas faire médecine toi pas vrai?,0,,role_playing_game,cyberado
tu va te detendre julie,0,,role_playing_game,cyberado
tu va rien faire c'est de sa faute,0,,role_playing_game,cyberado
tu va marcher sur l'eau,0,,role_playing_game,cyberado
Tu t'es jamais vu au miroir? avant de parler,1,,role_playing_game,cyberado
tu peux me promettre que tu vas arrêter ?,0,,role_playing_game,cyberado
toi tu sais que être méchante ma pauvre je t'imaginais pas comme ça franchement pauline le karma va se retourner,0,,role_playing_game,cyberado
tkt tu vas retrouver en prison,0,,role_playing_game,cyberado
tkt pauline tu vas avoir ce que tu merites,1,,role_playing_game,cyberado
tkt pas en face je vais te montrer mon petit bijoux,1,,role_playing_game,cyberado
tkt je l'attendrais devant chez elle,0,,role_playing_game,cyberado
teresa les preuves disparaissent comme fatima va disparaitre,1,,role_playing_game,cyberado
teresa je vais pas le répeter tu n'y iras pas chez la police,0,,role_playing_game,cyberado
t'as un problème va te faire soigner sale homophobe,0,,role_playing_game,cyberado
